Date,Close/Last,Volume,Open,High,Low
02/03/2022,2684.81,N/A,2663.67,2697.52,2671.72
02/02/2022,2665.68,N/A,2761.79,2723.97,2652.16
02/01/2022,2758.18,N/A,2742.74,2800.27,2743.7
01/31/2022,2739.64,N/A,2498.86,2765.13,2676.32
01/30/2022,2500.93,N/A,2590.44,2607.47,2478.85
01/29/2022,2581.71,N/A,2538.9,2614.38,2564.53
01/28/2022,2542.32,N/A,2441.21,2583.1,2520.14
01/27/2022,2433.18,N/A,2394.2,2460.28,2366.98
01/26/2022,2393.86,N/A,2498.26,2492.93,2356.46
01/25/2022,2419.78,N/A,2239.26,2450.68,2352.36
01/24/2022,2382.8,N/A,2438.39,2441.29,2379.36
01/23/2022,2432.03,N/A,2432.74,2540.81,2431.77
01/22/2022,2432.4,N/A,2555.67,2458,2387.85
01/21/2022,2565.3,N/A,2861.36,2621.21,2544.84
01/20/2022,2866.5,N/A,3123.9,3032.69,2812.19
01/19/2022,3126.88,N/A,3101.39,3135.26,3084.48
01/18/2022,3103.21,N/A,3175.44,3173.63,3093.25
01/17/2022,3175.27,N/A,3254.01,3242.47,3166.44
01/16/2022,3270.61,N/A,3317.48,3356.45,3253.2
01/15/2022,3320.9,N/A,3305.28,3336.52,3297.89
01/14/2022,3304.08,N/A,3272.63,3325.5,3293.94
01/13/2022,3276.9,N/A,3336.15,3281.56,3225.59
01/12/2022,3337.49,N/A,3227.3,3381.64,3316.03
01/11/2022,3224.57,N/A,3119.65,3259.32,3219.98
01/10/2022,3112.72,N/A,3176.73,3126.88,3053.4
01/09/2022,3194.42,N/A,3080.68,3210.34,3060.47
01/08/2022,3132.94,N/A,3219.66,3145.28,3060.47
01/07/2022,3224.46,N/A,3217.36,3241.77,3184.12
01/06/2022,3205.8,N/A,3455.03,3413.26,3149.18
01/05/2022,3443.32,N/A,3809.05,3550.19,3407.77
01/04/2022,3812.97,N/A,3730.89,3824.94,3769.97
01/03/2022,3732.99,N/A,3785.36,3773.73,3715.24
01/02/2022,3792.07,N/A,3758.95,3830.7,3777.56
01/01/2022,3734.09,N/A,3724.22,3770.77,3734.09
12/31/2021,3718.22,N/A,3744.28,3747.16,3677.69
12/30/2021,3747.89,N/A,3649.76,3760.57,3686.07
12/29/2021,3666.66,N/A,3816.18,3681.76,3589.64
12/28/2021,3806.74,N/A,3959.24,3825.97,3788
12/27/2021,3916.49,N/A,4080.15,4036.86,3880.67
12/26/2021,4067.46,N/A,4022.11,4087.2,4049.39
12/25/2021,4020.84,N/A,4037.01,4102.19,4005.38
12/24/2021,4043.18,N/A,4090.39,4074.62,4024.87
12/23/2021,4095.4,N/A,3948.75,4128.07,4075.84
12/22/2021,3961.21,N/A,4054.15,4002.8,3911.81
12/21/2021,4052.6,N/A,4035.6,4072.4,3993.22
12/20/2021,4031.11,N/A,3927.11,4049.9,3915.56
12/19/2021,3926.78,N/A,3977.95,4025.37,3897.29
12/18/2021,4022.64,N/A,3882.9,4025.37,3897.29
12/17/2021,3888.19,N/A,3977.85,3900.12,3769.91
12/16/2021,3983.43,N/A,4009.43,3993.87,3943.37
12/15/2021,4011.95,N/A,3856.6,4058.17,3996.76
12/14/2021,3855.21,N/A,3771.97,3891.33,3807.92
12/13/2021,3773.3,N/A,4016.74,3831.45,3752.38
12/12/2021,4012.84,N/A,4011.48,4141.27,3960.12
12/11/2021,4016.89,N/A,4033.76,4094.34,4013.77
12/10/2021,4033.19,N/A,4127.31,4039.67,3836.92
12/09/2021,4133.21,N/A,4389.27,4196.6,4101.57
12/08/2021,4383.12,N/A,4317.86,4482.89,4353.68
12/07/2021,4314.5,N/A,4344.68,4343.44,4282.29
12/06/2021,4339.98,N/A,4166.13,4384.01,4309.88
12/05/2021,4168.07,N/A,4155.88,4201.41,4103.35
12/04/2021,4042.39,N/A,4475.74,4237.56,3533.02
12/03/2021,4045.83,N/A,4532.9,4237.56,4045.83
12/02/2021,4533.23,N/A,4510.47,4546.93,4471.59
12/01/2021,4507.02,N/A,4730.3,4617.78,4454.79
11/30/2021,4729.27,N/A,4443.47,4763.96,4604.87
11/29/2021,4444.57,N/A,4323.95,4500.07,4403.69
11/28/2021,4342.37,N/A,4021.35,4370.62,4284.28
11/27/2021,4017.06,N/A,4133.84,4096.24,3980.24
11/26/2021,4142.36,N/A,4420.22,4146.99,4029.06
11/25/2021,4416.37,N/A,4288.21,4548.1,4404.72
11/24/2021,4290.11,N/A,4269.17,4334.41,4248.9
11/23/2021,4265.98,N/A,4168.77,4372.83,4233.03
11/22/2021,4179.59,N/A,4153.63,4190.35,4064.72
11/21/2021,4174.26,N/A,4331.12,4268.07,4152.46
11/20/2021,4334.44,N/A,4292.24,4415.56,4331.9
11/19/2021,4278.03,N/A,4052.89,4332.17,4264.99
11/18/2021,4041.9,N/A,4255.48,4101.88,3978.08
11/17/2021,4271.87,N/A,4135.54,4342.74,4257.28
11/16/2021,4101.79,N/A,4347.29,4240.09,4071.01
11/15/2021,4352.61,N/A,4704.61,4562.97,4264.83
11/14/2021,4701.79,N/A,4633.32,4721.81,4625.71
11/13/2021,4637.12,N/A,4620.4,4692.76,4622.34
11/12/2021,4628.83,N/A,4779.2,4705.02,4615.94
11/11/2021,4780.75,N/A,4635.04,4807.16,4692.86
11/10/2021,4632.16,N/A,4713.26,4645.96,4578.66
11/09/2021,4714.79,N/A,4805.34,4754.23,4679.45
11/08/2021,4796.78,N/A,4719.19,4813.62,4778.9
11/07/2021,4716.81,N/A,4550.24,4735.44,4612.05
11/06/2021,4547.8,N/A,4481.31,4570.01,4502.7
11/05/2021,4486.79,N/A,4506.13,4507,4456.23
11/04/2021,4540.75,N/A,4562.61,4554.23,4470.1
11/03/2021,4552.3,N/A,4599.1,4604.84,4541.84
11/02/2021,4575.86,N/A,4306.76,4639.6,4556.01
11/01/2021,4314.85,N/A,4237.23,4346.39,4287.36
10/31/2021,4198.74,N/A,4367.55,4323.55,4197.15
10/30/2021,4367.71,N/A,4339.87,4393.61,4321.04
10/29/2021,4343.43,N/A,4379.62,4428.41,4332.18
10/28/2021,4364.58,N/A,3994.05,4401.4,4268.21
10/27/2021,3994.83,N/A,4210.01,4017.95,3896.33
10/26/2021,4211.74,N/A,4224.63,4224.08,4118.82
10/25/2021,4221.87,N/A,4135.1,4256.59,4204.64
10/24/2021,4138.39,N/A,4132.4,4142.42,4069.94
10/23/2021,4140.25,N/A,4022.62,4184,4116.97
10/22/2021,4029.33,N/A,4153.04,4035.47,3947.89
10/21/2021,4149.79,N/A,4184.46,4160.44,4053.89
10/20/2021,4178.42,N/A,3844.39,4239.61,4138.42
10/19/2021,3847.36,N/A,3823.44,3899.9,3843.41
10/18/2021,3820.01,N/A,3853.34,3829.62,3733.78
